NPs,Coating,Core_size,Shape,Dose,Class,Family,Species,Duration,ZOI
AgNPs,Uncoated,68,NA,50000,Agaricomycetes,Ganodermataceae,Ganoderma,120,0
AgNPs,Uncoated,68,NA,50000,Fungal,Trichocomaceae,A. terreus,120,13
AgNPs,Uncoated,68,NA,75000,Saccharomycetes,Debaryomycetaceae,C. tropicalis,120,0
AgNPs,Uncoated,68,NA,75000,Sordariomycetes,Nectriaceae,Fusarium,120,17
AgNPs,Uncoated,68,NA,75000,Sordariomycetes,Microascaceae,Scedosporium,120,0
AgNPs,Uncoated,68,NA,75000,Agaricomycetes,Ganodermataceae,Ganoderma,120,0
AgNPs,Uncoated,68,NA,75000,Fungal,Trichocomaceae,A. terreus,120,15
AgNPs,Uncoated,68,NA,100000,Saccharomycetes,Debaryomycetaceae,C. tropicalis,120,0
AgNPs,Uncoated,68,NA,100000,Sordariomycetes,Nectriaceae,Fusarium,120,21
AgNPs,Uncoated,68,NA,100000,Sordariomycetes,Microascaceae,Scedosporium,120,0
AgNPs,Uncoated,68,NA,100000,Agaricomycetes,Ganodermataceae,Ganoderma,120,0
AgNPs,Uncoated,68,NA,100000,Fungal,Trichocomaceae,A. terreus,120,16
AgNPs,Coated,7.5,Spherical,200,Bacilli,Bacillaceae,B. subtilis,24,32
AgNPs,Coated,7.5,Spherical,200,Bacilli,Bacillaceae,B. cereus,24,28
AgNPs,Coated,7.5,Spherical,200,Gammaproteobacteria,Enterobacteriaceae,E. coli,24,21
